iter	Passed	Remaining
744	25398	8693
745	25414	8653
746	25430	8612
747	25446	8572
748	25462	8532
749	25478	8492
750	25493	8452
751	25510	8413
752	25528	8373
753	25544	8334
754	25562	8295
755	25578	8255
756	25594	8215
757	25609	8176
758	25622	8135
759	25635	8095
760	25649	8055
761	25668	8017
762	25681	7977
763	25695	7937
764	25709	7897
765	25722	7857
766	25735	7817
767	25749	7778
768	25763	7739
769	25777	7699
770	25790	7660
771	25804	7620
772	25817	7581
773	25830	7542
774	25843	7502
775	25857	7463
776	25871	7425
777	25885	7386
778	25900	7347
779	25914	7309
780	25927	7270
781	25941	7231
782	25956	7193
783	25972	7155
784	25987	7117
785	26006	7080
786	26021	7042
787	26037	7004
788	26051	6966
789	26065	6928
790	26080	6891
791	26094	6853
792	26109	6815
793	26125	6778
794	26140	6740
795	26156	6703
796	26170	6665
797	26183	6627
798	26196	6590
799	26209	6552
800	26222	6514
801	26236	6477
802	26249	6439
803	26263	6402
804	26277	6365
805	26293	6328
806	26310	6292
807	26328	6256
808	26347	6220
809	26366	6184
810	26382	6148
811	26399	6112
812	26412	6075
813	26426	6038
814	26442	6002
815	26459	5966
816	26475	5930
817	26493	5894
818	26510	5858
819	26529	5823
820	26545	5787
821	26565	5752
822	26580	5716
823	26597	5681
824	26613	5645
825	26629	5609
826	26644	5573
827	26657	5537
828	26672	5501
829	26687	5466
830	26702	5430
831	26716	5394
832	26729	5358
833	26743	5323
834	26759	5287
835	26775	5252
836	26790	5217
837	26804	5181
838	26819	5146
839	26834	5111
840	26847	5075
841	26862	5040
842	26878	5005
843	26891	4970
844	26904	4935
845	26918	4900
846	26932	4865
847	26944	4829
848	26959	4794
849	26971	4759
850	26983	4724
851	26996	4689
852	27008	4654
853	27019	4619
854	27030	4584
855	27042	4549
856	27052	4514
857	27063	4479
858	27074	4444
859	27084	4409
860	27094	4374
861	27104	4339
862	27114	4304
863	27124	4269
864	27134	4234
865	27144	4200
866	27155	4165
867	27165	4131
868	27176	4096
869	27188	4062
870	27199	4028
871	27211	3994
872	27222	3960
873	27234	3926
874	27244	3892
875	27256	3858
876	27267	3824
877	27279	3790
878	27289	3756
879	27301	3722
880	27312	3689
881	27323	3655
882	27335	3622
883	27347	3588
884	27359	3555
885	27370	3521
886	27381	3488
887	27393	3455
888	27403	3421
889	27414	3388
890	27425	3355
891	27435	3321
892	27445	3288
893	27457	3255
894	27468	3222
895	27480	3189
896	27492	3156
897	27503	3124
898	27513	3091
899	27525	3058
900	27537	3025
901	27550	2993
902	27562	2960
903	27574	2928
904	27587	2895
905	27597	2863
906	27610	2831
907	27620	2798
908	27631	2766
909	27640	2733
910	27651	2701
911	27661	2669
912	27670	2636
913	27681	2604
914	27691	2572
915	27700	2540
916	27710	2508
917	27720	2476
918	27731	2444
919	27741	2412
920	27751	2380
921	27761	2348
922	27771	2316
923	27781	2285
924	27792	2253
925	27804	2221
926	27815	2190
927	27827	2159
928	27838	2127
929	27851	2096
930	27863	2065
931	27873	2033
932	27885	2002
933	27897	1971
934	27907	1940
935	27919	1909
936	27931	1877
937	27942	1846
938	27955	1816
939	27967	1785
940	27978	1754
941	27989	1723
942	28001	1692
943	28012	1661
944	28022	1630
945	28032	1600
946	28043	1569
947	28053	1538
948	28064	1508
949	28075	1477
950	28086	1447
951	28098	1416
952	28109	1386
953	28121	1355
954	28132	1325
955	28144	1295
956	28157	1265
957	28169	1234
958	28181	1204
959	28193	1174
960	28204	1144
961	28217	1114
962	28229	1084
963	28241	1054
964	28253	1024
965	28264	994
966	28276	964
967	28288	935
968	28303	905
969	28316	875
970	28330	846
971	28345	816
972	28356	786
973	28368	757
974	28381	727
975	28394	698
976	28406	668
977	28419	639
978	28430	609
979	28442	580
980	28452	551
981	28465	521
982	28478	492
983	28493	463
984	28506	434
985	28518	404
986	28529	375
987	28542	346
988	28553	317
989	28563	288
990	28573	259
991	28583	230
992	28593	201
993	28603	172
994	28613	143
995	28624	114
996	28634	86
997	28645	57
998	28654	28
999	28665	0

991	37454	302
992	37468	264
993	37483	226
994	37499	188
995	37513	150
996	37527	112
997	37542	75
998	37558	37
999	37573	0
977	281
996	70038	210
997	70110	140
998	70214	70
999	70290	0
99	70165	0
